S.NO,Study-hours,part_time_job,social_media_usage,Residence,chosen_field,Satisfied_with_educational_system_and_job_market,family_responsibilities,CGPA
1,More than 4 hours ,No,Less than 2 hours,Hostelite,Strongly agree,Neutral,No,3.6
2,More than 4 hours ,Yes,Less than 6 hours,Hostelite,Agree,Strongly agree,Yes ,3
3,More than 4 hours ,No,Less than 2 hours,Hostelite,Agree,Neutral,Yes ,2.4
4,More than 4 hours ,No,Less than 2 hours,Day-scholar,Strongly disagree,Strongly disagree,Yes ,3.2
5,Less than 2 hours,No,Less than 3 hours,Day-scholar,Agree,Disagree,Yes ,2.9
6,Less than 3 hours,No,Less than 2 hours,Day-scholar,Agree,Neutral,No,3.5
7,Less than 3 hours,No,Less than 5 hours,Hostelite,Strongly agree,Neutral,No,3.37
8,Less than 1 hour,No,Less than 2 hours,Day-scholar,Neutral,Neutral,Yes ,3.16
9,Less than 2 hours,Yes,Less than 5 hours,Day-scholar,Strongly agree,Disagree,Yes ,3.82
10,More than 4 hours ,No,Less than 3 hours,Day-scholar,Strongly agree,Strongly agree,Yes ,3.1
11,Less than 1 hour,No,More than 6 hours,Day-scholar,Strongly agree,Neutral,No,2
12,Less than 1 hour,Yes,Less than 2 hours,Day-scholar,Strongly agree,Disagree,Yes ,3.95
13,less than 4 hours,No,Less than 3 hours,Day-scholar,Neutral,Neutral,Yes ,3.4
14,Less than 1 hour,Yes,Less than 3 hours,Day-scholar,Strongly agree,Disagree,No,3.04
15,Less than 2 hours,Yes,More than 6 hours,Day-scholar,Agree,Disagree,Yes ,3.43
17,Less than 1 hour,No,More than 6 hours,Hostelite,Neutral,Agree,Yes ,2.4
18,less than 4 hours,No,Less than 6 hours,Hostelite,Strongly agree,Disagree,No,3.9
19,Less than 2 hours,No,Less than 5 hours,Day-scholar,Neutral,Neutral,No,3.5
20,More than 4 hours ,Yes,Less than 3 hours,Day-scholar,Strongly agree,Strongly agree,No,3.5
21,Less than 3 hours,No,Less than 4 hours,Day-scholar,Strongly agree,Neutral,No,3.3
22,Less than 1 hour,No,Less than 3 hours,Day-scholar,Agree,Agree,Yes ,1.98
23,Less than 2 hours,No,Less than 4 hours,Day-scholar,Neutral,Strongly disagree,No,3
24,less than 4 hours,No,Less than 3 hours,Hostelite,Strongly agree,Agree,Yes ,3.2
25,Less than 3 hours,Yes,Less than 3 hours,Hostelite,Agree,Agree,Yes ,3.4
26,Less than 1 hour,No,Less than 3 hours,Day-scholar,Neutral,Disagree,No,2.8
27,Less than 1 hour,No,Less than 5 hours,Hostelite,Strongly agree,Neutral,Yes ,2.8
28,Less than 2 hours,No,Less than 2 hours,Day-scholar,Disagree,Disagree,No,3.5
29,Less than 2 hours,No,Less than 4 hours,Hostelite,Neutral,Neutral,No,3.1
30,Less than 3 hours,No,Less than 5 hours,Day-scholar,Strongly agree,Disagree,No,3.6
